"Category","Subcategory","Question","Weight","Answer"
"Authority","Executive support for decisions through mandates, approval, etc.","Is there a design critique culture in the organization?","1","No"
"Authority","Executive support for decisions through mandates, approval, etc.","Is there leadership support for the design system?","1","Yes"
"Authority","Permission to make decisions on behalf of the org","Does the design system team have the autonomy to make decisions for other teams without requiring case-by-case approval?","1","Yes"
"Alignment","Alignment on the 'why' consumers should use the design system (e.g., the individual contributor value proposition)","Is there a defined design strategy in the company?","1","No"
"Alignment","Alignment on the 'why' consumers should use the design system (e.g., the individual contributor value proposition)","Do designers at your organisation have deep, T-shaped specialisms (e.g., UX, UI, research, content, information architecture)?","1","Yes"
"Alignment","Alignment on the 'why' consumers should use the design system (e.g., the individual contributor value proposition)","Does the org have an established digital governance framework?","1","Yes"
"Alignment","Alignment on the 'why' for the org (vision, charter, future state, needs of the org and/or products)","Is there a specific goal or mission statement for the design system?","1","No"
"Alignment","Alignment on the 'why' for the people doing the work (internal-why)","Does your system have a specific set of team-level goals or missions that might not directly relate to the org-level mission statement?","1","Yes"
"Alignment","Alignment on the 'why' for the people doing the work (internal-why)","Is there a clear set of values for the design system, specifically?","1","Yes"
"Alignment","Alignment on the 'why' for the people doing the work (internal-why)","Is there a clear set of criteria for success for the design system?","1","No"
"Resource Lifecycle","Resource Creation & Parity","Does the 'Definition of Done' for a new resource require parity across design, code, and documentation?","1","No"
"Resource Lifecycle","Resource Creation & Parity","Is there a documented process for intake that allows non-maintainers to propose or contribute changes?","1","Yes"
"Resource Lifecycle","Resource Maintenance","Are documentation updates tied to the release cadence of the code/design libraries?","1","No"
"Resource Lifecycle","Resource Maintenance","Is there a clear system for labeling updates so consumers know if a change will break their work?","1","Yes"
"Resource Lifecycle","Deprecation or EOL processes","When a resource is deprecated, is its status reflected simultaneously in the code and the documentation site?","1","No"
"Resource Lifecycle","Deprecation or EOL processes","Do you provide migration guides or automated tools to help teams move off deprecated resources?","1","Yes"
"People","Makers: Allocation & Resilience","Do the individuals maintaining or building the design system split their time across other non-system projects?","1","Yes"
"People","Makers: Allocation & Resilience","Is there a formal agreement or process defining how that split is managed?","1","No"
"People","Consumers: Allocation & Resilience","Do the product designers and engineers (consumers) split their time across multiple products or teams simultaneously?","1","No"
"People","Consumers: Allocation & Resilience","Would the organization be open to a rotation program (e.g., embedding consumers into the system team)?","1","Yes"
"People","Dedicated (full or partial) core team to work on the design system","Is there a group of individuals assigned to work on the design system, specifically?","1","Yes"
"People","Consumers (clear-ish list of who would use the thing you're making)","Is there a defined group of intended users for the design system?","1","No"
"People","Ability to do in house?","Do we have the teammates internally that can successfully build the design system?","1","Yes"
"People","Ability to do in house?","Can we supplement the core design system team with additional teammates from around the org?","1","No"
"People","Ability to do in house?","If needed, can the design system team get help?","1","Yes"
"People","Ability to do in house?","Are there trainings and processes in place to onboard new users to the design system?","1","No"
"Investment","Monetary Investment: Headcount","Is there leadership approval/commitment for hiring additional teammates?","1","No"
"Investment","Long term funding","Has the organization made an official commitment to fund the ongoing maintenance and longevity of the design system?","1","Yes"
"Investment","Monetary Investment: Tools","Is there a tooling budget for continuing current tools?","1","No"
"Investment","Monetary Investment: Tools","If the team wanted to explore new or additional tooling, would they be able to?","1","Yes"
"Investment","Monetary Investment: Training on courses, teachers, etc","Does the organization pay for individual trainings, courses, conferences?","1","Yes"
"Investment","Monetary Investment: Training on courses, teachers, etc","Does the organization bring in external teachers/speakers/workshop hosts?","1","No"
"Investment","Time Investment: Training capacity, ability to spend time on learning and not delivery work","Does the org make space for learning and development in the average work day/week/cycle?","1","No"
"Infrastructure","Is there a defined tech stack and/or set of frameworks?","Does your organisation build on multiple platforms?","1","Yes"
"Infrastructure","Is there a defined tech stack and/or set of frameworks?","Are each of those platforms building in alignment with the same design system?","1","Yes"
"Infrastructure","Is there a defined tech stack and/or set of frameworks?","For your web applications are you using multiple frameworks?","1","No"
"Infrastructure","Is there a defined tech stack and/or set of frameworks?","Does the design system fully support the primary code language(s) used by product teams?","1","Yes"
"Infrastructure","Is there a defined communications platform?","Is there a standard practice for using a central communication platform at the organization?","1","No"
"Infrastructure","Is there a defined communications platform?","In addition to communication platforms does your organization or team send out regular company updates from leadership?","1","Yes"
"Infrastructure","Are all teams on the same design tooling?","Are the designers using the same set of tools to do work?","1","No"
"Infrastructure","Are all teams on the same design tooling?","Is prototyping happening in your company?","1","Yes"
"Infrastructure","Are all teams on the same design tooling?","Does it happen in a code generating tool or static artifacts tool?","0","test "
"Infrastructure","Are all teams on the same design tooling?","Are design resources distributed through the same tool?","1","No"
